Format,SubTitle,LeadLine,Teaser,Link,ViewType,ContentType,ContentTypeGuid,Date,Index,Categories,OnlineConsultingUrl,Distance,SearchResultHtml,Title,Guid
10115 Berlin,," ",Große Hamburger Straße 5 - 10115 Berlin,/search.ashx?g=2184703f-b306-4595-9039-8ea375cbee09&p=0&r=e53ae44c-187f-4cf5-8ab8-7ec529dcd358&u=http%3a%2f%2fwww.caritas.de%2fadressen%2fkatholischer-krankenhausverband-deutschlands-e.v%2f10115-berlin%2f603024%3fsearchterm%3d,Content,Adresse,74ac1d07-6f1e-4949-8169-f87bf0ef3804,5/5/2015,0,,,0,,Katholischer Krankenhausverband Deutschlands e.V.,e53ae44c-187f-4cf5-8ab8-7ec529dcd358
10115 Berlin,," ",Caroline-Michaelis-Str. 1 - 10115 Berlin,/search.ashx?g=2184703f-b306-4595-9039-8ea375cbee09&p=1&r=11bc6887-01a5-4644-a173-b3318dec4ab4&u=http%3a%2f%2fwww.caritas.de%2fadressen%2fklima-kollekte-kirchlicher-kompensationsfonds-ggmb%2f10115-berlin%2f2408922%3fsearchterm%3d,Content,Adresse,74ac1d07-6f1e-4949-8169-f87bf0ef3804,3/1/2023,1,,,0,,Klima-Kollekte - Kirchlicher Kompensationsfonds gGmbH,11bc6887-01a5-4644-a173-b3318dec4ab4
10115 Berlin,Caritas Erzbistum Berlin Projekt: Betreutes Einzelwohnen,Weitere soziale Hilfen,Große Hamburger Str. 18 - 10115 Berlin,/search.ashx?g=2184703f-b306-4595-9039-8ea375cbee09&p=2&r=c72d636e-7a4f-4156-b0cb-1827234263ba&u=http%3a%2f%2fwww.caritas.de%2fadressen%2fbetreutes-einzelwohnen-grosse-hamburger%2fcaritas-erzbistum-berlin-projekt-betreutes-einzelw%2f10115-berlin%2f75498%3fsearchterm%3d,Content,Adresse,74ac1d07-6f1e-4949-8169-f87bf0ef3804,4/15/2008,2,87e34065-18a5-404b-8170-a76ae9e68eac,,0,,Betreutes Einzelwohnen Große Hamburger,c72d636e-7a4f-4156-b0cb-1827234263ba
10115 Berlin,"Caritas Erzbistum Berlin Frühinterventionsprojekt für Kinder und Jugendliche mit riskantem Alkohol- und Drogenkonsum. ",Weitere soziale Hilfen,Große Hamburger Str. 18 - 10115 Berlin,/search.ashx?g=2184703f-b306-4595-9039-8ea375cbee09&p=3&r=d7c63113-1707-4d68-b764-5bcafe96597f&u=http%3a%2f%2fwww.caritas.de%2fadressen%2fhart-am-limit-halt%2fcaritas-erzbistum-berlin-fruehinterventionsprojekt%2f10115-berlin%2f85732%3fsearchterm%3d,Content,Adresse,74ac1d07-6f1e-4949-8169-f87bf0ef3804,4/15/2008,3,87e34065-18a5-404b-8170-a76ae9e68eac,,0,,Hart am LimiT (HaLT),d7c63113-1707-4d68-b764-5bcafe96597f
10115 Berlin,"Café-Streetwork 'Nur Nach Hause..."", Treffpunkt für Menschen mit Suchtproblemen, Projekt des Caritas Suchtzentrum Mitte",Weitere soziale Hilfen,Große Hamburger Str. 18 - 10115 Berlin,/search.ashx?g=2184703f-b306-4595-9039-8ea375cbee09&p=4&r=ad92a73e-8ca8-497b-b75a-75cd8b6ddb6e&u=http%3a%2f%2fwww.caritas.de%2fadressen%2fcaf-streetwork-nur-nach-hause%2fcaf-streetwork-nur-nach-hause..-treffpunkt-fuer-me%2f10115-berlin%2f89512%3fsearchterm%3d,Content,Adresse,74ac1d07-6f1e-4949-8169-f87bf0ef3804,4/15/2008,4,87e34065-18a5-404b-8170-a76ae9e68eac,,0,,"Café-Streetwork 'Nur Nach Hause...""",ad92a73e-8ca8-497b-b75a-75cd8b6ddb6e
10115 Berlin,Krankenpflegeschule,Gesundheitshilfe,Große Hamburger Str. 5 - 11 - 10115 Berlin,/search.ashx?g=2184703f-b306-4595-9039-8ea375cbee09&p=5&r=40569a0c-a4ad-497a-90f8-85423a7d0285&u=http%3a%2f%2fwww.caritas.de%2fadressen%2falexianer-akademie-fuer-gesundheits-und-krankenpfl%2fkrankenpflegeschule%2f10115-berlin%2f91843%3fsearchterm%3d,Content,Adresse,74ac1d07-6f1e-4949-8169-f87bf0ef3804,4/15/2008,5,2af68c63-997e-4b87-9a0d-4c21d74ee73b,,0,,Alexianer Akademie für Gesundheits- und Krankenpflege Berlin / Brandenburg,40569a0c-a4ad-497a-90f8-85423a7d0285
10115 Berlin,"Ambulante Rehabilitation Sucht und Nachsorge
Caritasverband für das Erzbistum Berlin e.V.
Große Hamburger Str. 18, 10115 Berlin",Weitere soziale Hilfen,Große Hamburger Str. 18 - 10115 Berlin,/search.ashx?g=2184703f-b306-4595-9039-8ea375cbee09&p=6&r=73689048-ab16-478e-9814-9ad2a9c5d45e&u=http%3a%2f%2fwww.caritas.de%2fadressen%2fcaritasverband-fuer-das-erzbistum-berlin-e.-v.-int%2fambulante-rehabilitation-sucht-und-nachsorgecarita%2f10115-berlin%2f95109%3fsearchterm%3d,Content,Adresse,74ac1d07-6f1e-4949-8169-f87bf0ef3804,4/15/2008,6,87e34065-18a5-404b-8170-a76ae9e68eac,,0,,"Caritasverband für das Erzbistum Berlin e. V. Integrative Suchtberatung Mitte Große Hamburger Str. 18, 10115 Berlin",73689048-ab16-478e-9814-9ad2a9c5d45e
10115 Berlin,Integrative Suchtberatung Mitte,Weitere soziale Hilfen,Große Hamburger Str. 18 - 10115 Berlin,/search.ashx?g=2184703f-b306-4595-9039-8ea375cbee09&p=7&r=f1da2711-9e0c-4498-988c-ab324f0c555e&u=http%3a%2f%2fwww.caritas.de%2fadressen%2fcaritasverband-fuer-das-erzbistum-berlin-e.v.-inte%2fintegrative-suchtberatung-mitte%2f10115-berlin%2f97660%3fsearchterm%3d,Content,Adresse,74ac1d07-6f1e-4949-8169-f87bf0ef3804,4/15/2008,7,87e34065-18a5-404b-8170-a76ae9e68eac,,0,,"Caritasverband für das Erzbistum Berlin e.V., Integratives Suchtzentrum Mitte",f1da2711-9e0c-4498-988c-ab324f0c555e
10115 Berlin,"Caritas Erzbistum Berlin ",Kinder- und Jugendhilfe,Große Hamburger Str. 18 - 10115 Berlin,/search.ashx?g=2184703f-b306-4595-9039-8ea375cbee09&p=8&r=f3b6307d-7c16-448f-9765-be3b428e14fc&u=http%3a%2f%2fwww.caritas.de%2fadressen%2ferziehungs-und-familienberatung-mitte%2fcaritas-erzbistum-berlin%2f10115-berlin%2f100587%3fsearchterm%3d,Content,Adresse,74ac1d07-6f1e-4949-8169-f87bf0ef3804,4/15/2008,8,"565910bb-1361-4034-bec6-23b69440eb17,1ed33da1-4467-49ed-949c-1bd0fba1dd22",,0,,Erziehungs- und Familienberatung Mitte,f3b6307d-7c16-448f-9765-be3b428e14fc
10115 Berlin,,Gesundheitshilfe,Große Hamburger Str. 5 - 11 - 10115 Berlin,/search.ashx?g=2184703f-b306-4595-9039-8ea375cbee09&p=9&r=7eec405c-dafd-4bad-83ea-c8e6e067e516&u=http%3a%2f%2fwww.caritas.de%2fadressen%2fst.-hedwig-krankenhaus%2f10115-berlin%2f102140%3fsearchterm%3d,Content,Adresse,74ac1d07-6f1e-4949-8169-f87bf0ef3804,4/15/2008,9,62418f88-6bf8-4227-ac13-f0793d35cc0f,,0,,St. Hedwig-Krankenhaus,7eec405c-dafd-4bad-83ea-c8e6e067e516
